position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,provider_id,rating,reviews,price,type,types,address,open_state,hours,operating_hours,phone,website,description,service_options,thumbnail
2,Strand Book Store,ChIJnSKGEJlZwokRQIpiCvzKzV4,0x89c259991086229d:0x5ecdcafc0a628a40,6831339393645709888,https://serpapi.com/search.json?data_id=0x89c259991086229d%3A0x5ecdcafc0a628a40&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259991086229d%3A0x5ecdcafc0a628a40&engine=google_maps_photos&hl=en,"{'latitude': 40.7332515, 'longitude': -73.99095319999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJnSKGEJlZwokRQIpiCvzKzV4,/g/1ydpv9vcj,4.8,13993,$$,Book store,"['Book store', 'Event venue', 'Rare book store', 'Record store', 'Used book store', 'Wedding venue']","828 Broadway, New York, NY 10003",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM', 'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM'}",(212) 473-1452,https://www.strandbooks.com/,"Long-standing store for new & used books. Landmark shop specializing in new, used & rare books from philosophy to finance, plus bookish gifts.","{'in_store_shopping': True, 'in_store_pickup': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipPLwp12Ivwa82rvN28N-FtesOF9iws972yAjdnv=w122-h92-k-no
3,BOOKOFF New York,ChIJ67h3yAUm3YARUuYXriKGpdg,0x80dd2605c877b8eb:0xd8a58622ae17e652,15611031166857504338,https://serpapi.com/search.json?data_id=0x80dd2605c877b8eb%3A0xd8a58622ae17e652&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x80dd2605c877b8eb%3A0xd8a58622ae17e652&engine=google_maps_photos&hl=en,"{'latitude': 40.7563867, 'longitude': -73.9813997}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ67h3yAUm3YARUuYXriKGpdg,/g/1tm0cqn_,4.5,3606,Used book store,"['Used book store', 'DVD store', 'Used CD store', 'Used game store']","49 W 45th St, New York, NY 10036",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM', 'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM'}",(212) 685-1410,https://www.bookoffusa.com/bookoff-49-w-45th-ny-store/,"{'in_store_shopping': True, 'in_store_pickup': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipMhwsEM-tgdlqyYrU3pix4WHalKfHJDeeV40-CV=w122-h92-k-no
4,Rizzoli Bookstore,ChIJg3UvcfpYwokRDr3VC4a_dt0,0x89c258fa712f7583:0xdd76bf860bd5bd0e,15958152912079011086,https://serpapi.com/search.json?data_id=0x89c258fa712f7583%3A0xdd76bf860bd5bd0e&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258fa712f7583%3A0xdd76bf860bd5bd0e&engine=google_maps_photos&hl=en,"{'latitude': 40.7435735, 'longitude': -73.9891809}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJg3UvcfpYwokRDr3VC4a_dt0,/g/1ttpht7q,4.6,884,Book store,['Book store'],"1133 Broadway, New York, NY 10010",Closed ⋅ Opens 11 AM,Closed ⋅ Opens 11 AM,"{'saturday': '11\u202fAM–8\u202fPM', 'sunday': '11\u202fAM–7\u202fPM', 'monday': '11\u202fAM–8\u202fPM', 'tuesday': '11\u202fAM–8\u202fPM', 'wednesday': '11\u202fAM–8\u202fPM', 'thursday': '11\u202fAM–8\u202fPM', 'friday': '11\u202fAM–8\u202fPM'}",(212) 759-2424,http://www.rizzolibookstore.com/,"Storied shop in an ornate townhouse. Storied bookstore in a townhouse specializing in illustrated tomes, literature & European magazines.","{'in_store_shopping': True, 'in_store_pickup': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipPhEr-b0eJbJXnQtHhDSqr8b1jats9At1lvUA4u=w122-h92-k-no
5,Argosy Book Store,ChIJoXSJb-VYwokRuaErGbTz67Y,0x89c258e56f8974a1:0xb6ebf3b4192ba1b9,13180896689271841209,https://serpapi.com/search.json?data_id=0x89c258e56f8974a1%3A0xb6ebf3b4192ba1b9&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258e56f8974a1%3A0xb6ebf3b4192ba1b9&engine=google_maps_photos&hl=en,"{'latitude': 40.7624795, 'longitude': -73.969201}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJoXSJb-VYwokRuaErGbTz67Y,/g/1thhlf8r,4.7,560,Book store,"['Book store', 'Art gallery', 'Map store', 'Rare book store', 'Used book store']","116 E 59th St, New York, NY 10022",Closed ⋅ Opens 11 AM,Closed ⋅ Opens 11 AM,"{'saturday': '11\u202fAM–6\u202fPM', 'sunday': 'Closed', 'monday': '11\u202fAM–6\u202fPM', 'tuesday': '11\u202fAM–6\u202fPM', 'wednesday': '11\u202fAM–6\u202fPM', 'thursday': '11\u202fAM–6\u202fPM', 'friday': '11\u202fAM–6\u202fPM'}",(212) 753-4455,http://www.argosybooks.com/,Longtime seller of old and rare books. Six-story bookstore stocking an enormous array of antiquarian and out-of-print volumes since 1925.,"{'in_store_shopping': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipMQhOTJFcAdz26-A_84rK3mTHw1WSUeUiHvj4rA=w80-h106-k-no
6,The Corner Bookstore,ChIJTzssxaNYwokRQe-_q-eOduY,0x89c258a3c52c3b4f:0xe6768ee7abbfef41,16606617801645354817,https://serpapi.com/search.json?data_id=0x89c258a3c52c3b4f%3A0xe6768ee7abbfef41&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258a3c52c3b4f%3A0xe6768ee7abbfef41&engine=google_maps_photos&hl=en,"{'latitude': 40.7851492, 'longitude': -73.9555033}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTzssxaNYwokRQe-_q-eOduY,/g/1tk1zz68,4.7,206,Book store,['Book store'],"1313 Madison Ave, New York, NY 10128",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–7\u202fPM', 'sunday': '11\u202fAM–5\u202fPM', 'monday': '10\u202fAM–7\u202fPM', 'tuesday': '10\u202fAM–7\u202fPM', 'wednesday': '10\u202fAM–7\u202fPM', 'thursday': '10\u202fAM–7\u202fPM', 'friday': '10\u202fAM–7\u202fPM'}",(212) 831-3554,http://cornerbookstorenyc.com/,"Cozy resource with an array of titles. Compact nook offering a range of adult fiction & nonfiction books, from bestsellers to travel tomes.","{'in_store_shopping': True, 'curbside_pickup': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipPiXRuiOy1T9To9S9PGBKNTnKpJtG4hdYN4_BAN=w122-h92-k-no
7,Barnes & Noble,ChIJF8zFR_5YwokR_3hP2TPVuF4,0x89c258fe47c5cc17:0x5eb8d533d94f78ff,6825439653945899263,https://serpapi.com/search.json?data_id=0x89c258fe47c5cc17%3A0x5eb8d533d94f78ff&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258fe47c5cc17%3A0x5eb8d533d94f78ff&engine=google_maps_photos&hl=en,"{'latitude': 40.7557334, 'longitude': -73.9789175}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJF8zFR_5YwokR_3hP2TPVuF4,/g/1tjh08qc,4.5,9078,$$,Book store,"['Book store', 'Cafe', 'Childrens book store', 'Hobby store', 'Toy store']","555 5th Ave, New York, NY 10017",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM', 'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM'}",(212) 697-3048,https://stores.barnesandnoble.com/store/2234,"Mainstay for books, magazines & more. Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.","{'in_store_shopping': True, 'in_store_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipMDKGSPQd0EAY5FgkqNhDhbaF7VDkK-QFfNzJTI=w138-h92-k-no
8,Hudson Booksellers,ChIJQ8c7SlNYwokRrJJScaogLO0,0x89c258534a3bc743:0xed2c20aa715292ac,17090070602381955756,https://serpapi.com/search.json?data_id=0x89c258534a3bc743%3A0xed2c20aa715292ac&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258534a3bc743%3A0xed2c20aa715292ac&engine=google_maps_photos&hl=en,"{'latitude': 40.750409999999995, 'longitude': -73.99318}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJQ8c7SlNYwokRrJJScaogLO0,/g/11xh5s6br,3.8,51,Book store,['Book store'],"New York, NY 10001",Open ⋅ Closes 8 PM,Open ⋅ Closes 8 PM,"{'saturday': '6\u202fAM–8\u202fPM', 'sunday': '7\u202fAM–7\u202fPM', 'monday': '6\u202fAM–8\u202fPM', 'tuesday': '6\u202fAM–8\u202fPM', 'wednesday': 'Closed', 'thursday': '6\u202fAM–8\u202fPM', 'friday': '6\u202fAM–8\u202fPM'}",http://www.hudsonbooksellers.com/,"Retailer of books, magazines & more. Bookseller chain carrying a variety of fiction & nonfiction books, magazines & assorted sundries.","{'in_store_shopping': True, 'in_store_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipOTM_sz0bmKGdaNa351ZTCr0_q7Gh-NONvz93bl=w122-h92-k-no
9,Housing Works Bookstore,ChIJSaRjC49ZwokR402Rpxj6i9Q,0x89c2598f0b63a449:0xd48bfa18a7914de3,15315609941600980451,https://serpapi.com/search.json?data_id=0x89c2598f0b63a449%3A0xd48bfa18a7914de3&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c2598f0b63a449%3A0xd48bfa18a7914de3&engine=google_maps_photos&hl=en,"{'latitude': 40.7246035, 'longitude': -73.99657549999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJSaRjC49ZwokR402Rpxj6i9Q,/m/0lb1kb0,4.7,1490,Book store,['Book store'],"126 Crosby St, New York, NY 10012",Closed ⋅ Opens 11 AM,Closed ⋅ Opens 11 AM,"{'saturday': '11\u202fAM–3\u202fPM', 'sunday': '11\u202fAM–8\u202fPM', 'monday': '11\u202fAM–8\u202fPM', 'tuesday': '11\u202fAM–8\u202fPM', 'wednesday': '11\u202fAM–8\u202fPM', 'thursday': '11\u202fAM–8\u202fPM', 'friday': '11\u202fAM–8\u202fPM'}",(212) 334-3324,https://www.housingworks.org/locations/bookstore-cafe,{'in_store_shopping': True},https://lh5.googleusercontent.com/p/AF1QipN5BXV-cykzJ7_jlxQG69NM0CJnlzR0ysMiBsi0=w163-h92-k-no
10,Three Lives & Company,ChIJ4SYiPZRZwokRM_H1_7dJhMY,0x89c259943d2226e1:0xc68449b7fff5f133,14304639371057688883,https://serpapi.com/search.json?data_id=0x89c259943d2226e1%3A0xc68449b7fff5f133&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259943d2226e1%3A0xc68449b7fff5f133&engine=google_maps_photos&hl=en,"{'latitude': 40.734387, 'longitude': -74.0015401}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ4SYiPZRZwokRM_H1_7dJhMY,/g/1tdz0wdr,4.8,414,Book store,['Book store'],"154 W 10th St, New York, NY 10014",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–7\u202fPM', 'sunday': '12–7\u202fPM', 'monday': '10\u202fAM–7\u202fPM', 'tuesday': '10\u202fAM–7\u202fPM', 'wednesday': '10\u202fAM–7\u202fPM', 'thursday': '10\u202fAM–7\u202fPM', 'friday': '10\u202fAM–7\u202fPM'}",(212) 741-2069,http://threelives.com/,Cozy independent bookstore with readings. Snug neighborhood bookshop selling a well-curated selection of hardcovers & paperbacks since 1968.,"{'in_store_shopping': True, 'curbside_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipO0w7uKJ4yOKVU7_6y50T-eN3lZ4c0Ab7qIhL4v=w122-h92-k-no
11,Book Culture,ChIJf-PweTz2wokRfJf5uNQCzrk,0x89c2f63c79f0e37f:0xb9ce02d4b8f9977c,13388641854878750588,https://serpapi.com/search.json?data_id=0x89c2f63c79f0e37f%3A0xb9ce02d4b8f9977c&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c2f63c79f0e37f%3A0xb9ce02d4b8f9977c&engine=google_maps_photos&hl=en,"{'latitude': 40.8049852, 'longitude': -73.96496789999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJf-PweTz2wokRfJf5uNQCzrk,/g/1tfj42rc,4.7,433,Book store,['Book store'],"536 W 112th St, New York, NY 10025",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM', 'monday': '9\u202fAM–10\u202fPM', 'tuesday': '9\u202fAM–10\u202fPM', 'wednesday': '9\u202fAM–10\u202fPM', 'thursday': '9\u202fAM–10\u202fPM', 'friday': '9\u202fAM–10\u202fPM'}",(212) 865-1588,https://www.bookculture.com/,"Best-sellers, remainders & art books. Independent bookstore for best-sellers, remainders, literary fiction, art books & academic titles.","{'in_store_shopping': True, 'in_store_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipNgXl1I-NpmsxQ-QgKZnQsgy-bcyTq0VsaPLgqq=w163-h92-k-no
12,McNally Jackson Books SoHo,ChIJwaHnQI9ZwokRvlECeQqpHdg,0x89c2598f40e7a1c1:0xd81da90a790251be,15572788948962005438,https://serpapi.com/search.json?data_id=0x89c2598f40e7a1c1%3A0xd81da90a790251be&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c2598f40e7a1c1%3A0xd81da90a790251be&engine=google_maps_photos&hl=en,"{'latitude': 40.7254231, 'longitude': -74.00069049999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJwaHnQI9ZwokRvlECeQqpHdg,/g/11fz2zxb9_,4.8,1417,Book store,['Book store'],"134 Prince St, New York, NY 10012",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM', 'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM'}",(212) 274-1160,http://www.mcnallyjackson.com/,Neighborhood hub for books & coffee. Expansive bookshop & cafe stocking bestsellers & hard-to-find titles & hosting author events.,"{'in_store_shopping': True, 'in_store_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipPlMu9E1YOb1kjdZwZBxc0XwEZsC-yb1mZxeIBF=w163-h92-k-no
13,Kinokuniya New York,ChIJn0BhwP5YwokRTZw5De7Ti20,0x89c258fec061409f:0x6d8bd3ee0d399c4d,7893635791274482765,https://serpapi.com/search.json?data_id=0x89c258fec061409f%3A0x6d8bd3ee0d399c4d&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c258fec061409f%3A0x6d8bd3ee0d399c4d&engine=google_maps_photos&hl=en,"{'latitude': 40.754107, 'longitude': -73.9849938}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJn0BhwP5YwokRTZw5De7Ti20,/g/1tf03d67,4.7,7853,Book store,['Book store'],"1073 6th Ave, New York, NY 10018",Closed ⋅ Opens 10 AM,Closed ⋅ Opens 10 AM,"{'saturday': '10\u202fAM–8\u202fPM', 'sunday': '11\u202fAM–7:30\u202fPM', 'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM'}",(212) 869-1700,https://usa.kinokuniya.com/,"Japanese bookstore with large selection. Japanese-based retailer known for its collection of Asian books & magazines, plus DVDs & stationery.","{'in_store_shopping': True, 'in_store_pickup': True}",https://lh5.googleusercontent.com/p/AF1QipNmth_nrS_yEl0kFAxTtqpHwIAklYsVBxpti8jW=w80-h106-k-no
